Basin Selected: Colorado
NVIDIA GeForce RTX 2080 Ti

Lag: 4
Stop at: 0.95
Train / test split %: 0.65
Will run for (epochs): 100

Training started at 2022-07-19 02:33:11
epoch 0 train:	 [-0.]
epoch 1 train:	 [0.29]
epoch 2 train:	 [0.47]
epoch 3 train:	 [0.54]
epoch 4 train:	 [0.59]
epoch 5 train:	 [0.63]
epoch 6 train:	 [0.67]
epoch 7 train:	 [0.7]
epoch 8 train:	 [0.72]
epoch 9 train:	 [0.74]
epoch 10 train:	 [0.77]
epoch 11 train:	 [0.78]
epoch 12 train:	 [0.8]
epoch 13 train:	 [0.8]
epoch 14 train:	 [0.81]
epoch 15 train:	 [0.81]
epoch 16 train:	 [0.81]
epoch 17 train:	 [0.83]
epoch 18 train:	 [0.83]
epoch 19 train:	 [0.84]
epoch 20 train:	 [0.83]
epoch 21 train:	 [0.85]
epoch 22 train:	 [0.85]
epoch 23 train:	 [0.86]
epoch 24 train:	 [0.85]
epoch 25 train:	 [0.87]
epoch 26 train:	 [0.87]
epoch 27 train:	 [0.88]
epoch 28 train:	 [0.88]
epoch 29 train:	 [0.88]
epoch 30 train:	 [0.88]
epoch 31 train:	 [0.89]
epoch 32 train:	 [0.89]
epoch 33 train:	 [0.9]
epoch 34 train:	 [0.9]
epoch 35 train:	 [0.89]
epoch 36 train:	 [0.9]
epoch 37 train:	 [0.91]
epoch 38 train:	 [0.9]
epoch 39 train:	 [0.91]
epoch 40 train:	 [0.91]
epoch 41 train:	 [0.91]
epoch 42 train:	 [0.91]
epoch 43 train:	 [0.91]
epoch 44 train:	 [0.92]
epoch 45 train:	 [0.92]
epoch 46 train:	 [0.92]
epoch 47 train:	 [0.92]
epoch 48 train:	 [0.92]
epoch 49 train:	 [0.92]
epoch 50 train:	 [0.93]
epoch 51 train:	 [0.93]
epoch 52 train:	 [0.93]
epoch 53 train:	 [0.93]
epoch 54 train:	 [0.93]
epoch 55 train:	 [0.93]
epoch 56 train:	 [0.93]
epoch 57 train:	 [0.93]
epoch 58 train:	 [0.94]
epoch 59 train:	 [0.94]
epoch 60 train:	 [0.94]
epoch 61 train:	 [0.94]
epoch 62 train:	 [0.94]
epoch 63 train:	 [0.95]
epoch 64 train:	 [0.95]
epoch 65 train:	 [0.94]
epoch 66 train:	 [0.95]
epoch 67 train:	 [0.95]
epoch 68 train:	 [0.95]
epoch 69 train:	 [0.95]
Training time 4.06177 (minutes)

R²	[0.814]
KGE	[0.888]
r	[0.917]
α	[0.925]
β	[0.996]
NSE	[84.1]
